"datetime","open","high","low","close"
2014-08-21 06:09:00,1362.85,1363.85,1362.35,1363.45
2014-08-21 06:18:00,1363.5,1364.25,1363.5,1364.1
2014-08-21 06:28:00,1364.1,1364.1,1363.95,1363.95
2014-08-21 06:34:00,1363.95,1363.95,1363.5,1363.85
2014-08-21 06:46:00,1363.7,1363.85,1363.7,1363.8
2014-08-21 06:59:00,1363.65,1363.7,1363.35,1363.45
2014-08-21 07:08:00,1363.4,1363.55,1363.4,1363.45
2014-08-21 07:19:00,1363.4,1363.45,1362.65,1363.1
2014-08-21 07:29:00,1363.15,1363.15,1362.85,1363.1
2014-08-21 07:48:00,1363.35,1363.75,1363.3,1363.35
2014-08-21 07:59:00,1363.35,1363.5,1362.45,1362.5
2014-08-21 08:09:00,1362.55,1362.65,1361.5,1361.55
2014-08-21 08:19:00,1361.55,1361.7,1361.2,1361.5
2014-08-21 08:29:00,1361.65,1362.25,1361.45,1362.15
2014-08-21 08:39:00,1362.15,1362.3,1361.9,1362.05
2014-08-21 08:49:00,1362.15,1362.3,1361.65,1361.95
2014-08-21 08:59:00,1361.9,1362.2,1361.65,1361.95
2014-08-21 09:09:00,1361.95,1361.95,1360.5,1361.2
2014-08-21 09:19:00,1361.2,1361.4,1360.9,1361.05
2014-08-21 09:29:00,1361,1361.95,1360.95,1361.75
2014-08-21 09:39:00,1361.7,1361.85,1361.3,1361.75
2014-08-21 09:49:00,1361.7,1361.7,1361.1,1361.15
2014-08-21 09:59:00,1361.15,1361.85,1360.85,1361.5
2014-08-21 10:09:00,1361.45,1361.75,1360.85,1361.7
2014-08-21 10:17:00,1361.7,1361.8,1361.3,1361.35
2014-08-21 10:29:00,1361.35,1361.7,1361.35,1361.7
2014-08-21 10:37:00,1361.55,1361.85,1361.55,1361.6
2014-08-21 10:49:00,1361.5,1361.75,1361.4,1361.65
2014-08-21 10:53:00,1361.65,1361.65,1361.6,1361.6
2014-08-21 11:09:00,1361.5,1361.5,1359.55,1359.7
2014-08-21 11:19:00,1359.7,1359.75,1358.05,1359.55
2014-08-21 11:29:00,1359.4,1359.5,1358.7,1359.35
2014-08-21 11:39:00,1359.35,1359.85,1359.15,1359.65
2014-08-21 11:49:00,1359.7,1360.3,1359.3,1360.15
2014-08-21 11:59:00,1360.15,1360.55,1359.8,1360.05
2014-08-21 12:09:00,1360,1360.5,1359.5,1359.7
2014-08-21 12:15:00,1359.85,1359.95,1359.65,1359.7
2014-08-21 12:24:00,1359.6,1359.85,1359.6,1359.65
2014-08-21 12:39:00,1359.65,1359.85,1359.3,1359.8
2014-08-21 12:48:00,1359.85,1359.9,1359.5,1359.5
2014-08-21 12:59:00,1359.55,1359.8,1359.1,1359.15
2014-08-21 13:09:00,1359.25,1359.65,1359.25,1359.55
2014-08-21 13:18:00,1359.5,1359.55,1359.25,1359.25
2014-08-21 13:28:00,1359.15,1359.15,1358.6,1358.6
2014-08-21 13:39:00,1358.65,1359.2,1358.2,1358.65
2014-08-21 13:49:00,1358.6,1359.2,1358,1359
2014-08-21 13:59:00,1359.05,1359.35,1359,1359.15
2014-08-21 14:09:00,1359.15,1359.15,1349.15,1356.65
2014-08-21 14:18:00,1356.65,1356.9,1354.75,1354.85
2014-08-21 14:29:00,1355.25,1356.1,1354.7,1355.95
2014-08-21 14:38:00,1355.95,1356.45,1355.45,1355.8
2014-08-21 14:48:00,1355.85,1355.85,1354.8,1355.55
2014-08-21 14:59:00,1355.5,1355.55,1354.45,1354.9
2014-08-21 15:09:00,1354.85,1355.35,1353.85,1354.35
2014-08-21 15:19:00,1354.35,1355.45,1354,1354.85
2014-08-21 15:29:00,1355,1356.4,1354.9,1355.95
2014-08-21 15:39:00,1355.85,1356.75,1355.6,1356.05
2014-08-21 15:49:00,1355.95,1356.3,1355.7,1355.85
2014-08-21 15:59:00,1355.85,1355.85,1355.5,1355.5
2014-08-21 16:09:00,1355.55,1356.3,1355.45,1356.1
2014-08-21 16:19:00,1356.15,1357.1,1355.75,1356.6
2014-08-21 16:29:00,1356.55,1356.75,1356,1356.35
2014-08-21 16:39:00,1356.4,1356.95,1356.15,1356.9
2014-08-21 16:49:00,1356.95,1356.95,1356.2,1356.45
2014-08-21 16:56:00,1356.45,1356.45,1355.95,1356.2
2014-08-21 17:08:00,1356,1356.1,1355.65,1355.9
2014-08-21 17:19:00,1355.7,1355.75,1354.8,1354.9
2014-08-21 17:29:00,1354.95,1355.25,1354.6,1354.95
2014-08-21 17:35:00,1354.9,1355.55,1354.9,1355.2
2014-08-21 17:46:00,1355.1,1355.2,1354.75,1354.85
2014-08-21 17:59:00,1354.95,1355.95,1354.95,1355.55
2014-08-21 18:09:00,1355.55,1355.95,1355.1,1355.75
2014-08-21 18:18:00,1355.9,1356.05,1355.5,1356
2014-08-21 18:29:00,1356,1356.85,1355.9,1356.75
2014-08-21 18:39:00,1356.8,1357.65,1356.7,1357.5
2014-08-21 18:49:00,1357.5,1358.3,1357.4,1357.9
2014-08-21 18:59:00,1357.9,1358.25,1356.7,1356.75
2014-08-21 19:09:00,1356.75,1357,1356.3,1356.75
2014-08-21 19:19:00,1356.75,1356.9,1355.25,1355.5
2014-08-21 19:29:00,1355.5,1355.55,1354.25,1355.15
2014-08-21 19:39:00,1355.2,1355.4,1354.25,1354.25
2014-08-21 19:49:00,1354.25,1354.7,1353.35,1353.55
2014-08-21 19:59:00,1353.7,1353.95,1352.75,1352.95
2014-08-21 20:09:00,1352.95,1353.3,1352.3,1352.85
2014-08-21 20:19:00,1352.85,1353.35,1349.5,1350.3
2014-08-21 20:29:00,1350.35,1351.1,1348.25,1349.75
2014-08-21 20:39:00,1349.75,1351.15,1347.9,1350.35
2014-08-21 20:49:00,1350.35,1351.8,1350.3,1351.5
