datetime,open,high,low,close,vol
2015-01-23 16:50:00, 1295.7 , 1296.7 , 1294.6 , 1294.9 ,    1091 
2015-01-23 17:00:00, 1295.0 , 1296.3 , 1294.2 , 1295.6 ,     236 
2015-01-23 17:10:00, 1295.6 , 1296.1 , 1295.1 , 1295.4 ,     430 
2015-01-23 17:20:00, 1295.2 , 1296.5 , 1294.6 , 1296.5 ,    1208 
2015-01-23 17:30:00, 1296.4 , 1297.0 , 1295.9 , 1296.5 ,    1074 
2015-01-23 17:40:00, 1296.4 , 1296.5 , 1294.7 , 1294.9 ,    2086 
2015-01-23 17:50:00, 1294.7 , 1295.6 , 1293.8 , 1294.9 ,     992 
2015-01-23 18:00:00, 1294.9 , 1294.9 , 1293.1 , 1293.7 ,     785 
2015-01-23 18:10:00, 1293.9 , 1294.7 , 1293.6 , 1293.8 ,    1641 
2015-01-23 18:20:00, 1294.0 , 1294.2 , 1293.1 , 1293.4 ,     569 
2015-01-23 18:30:00, 1293.4 , 1294.1 , 1292.7 , 1293.9 ,    1674 
2015-01-23 18:40:00, 1293.8 , 1295.5 , 1293.4 , 1294.8 ,    1523 
2015-01-23 18:50:00, 1294.8 , 1295.2 , 1294.0 , 1294.7 ,     793 
2015-01-23 19:00:00, 1294.6 , 1294.8 , 1293.8 , 1294.5 ,     359 
2015-01-23 19:10:00, 1294.4 , 1295.5 , 1294.4 , 1295.3 ,     364 
2015-01-23 19:20:00, 1295.3 , 1295.4 , 1293.9 , 1294.7 ,     166 
2015-01-23 19:30:00, 1294.7 , 1295.3 , 1294.5 , 1295.2 ,     234 
2015-01-23 19:40:00, 1295.2 , 1295.8 , 1294.2 , 1295.6 ,      41 
2015-01-23 19:50:00, 1295.5 , 1296.5 , 1294.8 , 1295.9 ,     204 
2015-01-23 20:00:00, 1295.9 , 1296.7 , 1295.0 , 1295.7 ,     305 
2015-01-23 20:10:00, 1295.9 , 1299.8 , 1295.7 , 1298.0 ,     376 
2015-01-23 20:20:00, 1298.0 , 1299.5 , 1297.5 , 1298.5 ,      96 
2015-01-23 20:30:00, 1298.4 , 1298.5 , 1296.6 , 1296.7 ,      71 
2015-01-23 20:40:00, 1296.7 , 1298.3 , 1295.7 , 1297.5 ,      40 
2015-01-23 20:50:00, 1297.6 , 1297.9 , 1296.7 , 1297.7 ,     148 
2015-01-23 21:00:00, 1297.5 , 1298.5 , 1296.6 , 1297.1 ,     244 
2015-01-23 21:10:00, 1297.2 , 1297.3 , 1295.5 , 1296.5 ,     142 
2015-01-23 21:20:00, 1296.6 , 1298.0 , 1296.1 , 1296.5 ,     404 
2015-01-23 21:30:00, 1296.5 , 1297.5 , 1295.9 , 1297.0 ,     400 
2015-01-23 21:40:00, 1297.1 , 1298.6 , 1296.8 , 1298.4 ,     146 
2015-01-23 21:50:00, 1298.4 , 1298.6 , 1297.3 , 1297.8 ,     315 
2015-01-23 22:00:00, 1297.8 , 1298.1 , 1296.2 , 1296.5 ,     132 
2015-01-23 22:10:00, 1296.5 , 1297.7 , 1296.0 , 1296.3 ,     166 
2015-01-23 22:20:00, 1296.2 , 1296.7 , 1294.2 , 1295.6 ,     122 
2015-01-23 22:30:00, 1295.5 , 1296.0 , 1293.9 , 1294.6 ,     862 
2015-01-23 22:40:00, 1294.6 , 1295.9 , 1294.6 , 1294.8 ,     280 
2015-01-23 22:50:00, 1294.8 , 1295.9 , 1294.4 , 1295.3 ,     119 
2015-01-23 23:00:00, 1295.3 , 1296.2 , 1294.0 , 1294.4 ,     131 
2015-01-23 23:10:00, 1294.4 , 1294.4 , 1284.3 , 1288.0 ,     168 
2015-01-23 23:20:00, 1287.9 , 1289.0 , 1286.8 , 1288.4 ,     124 
2015-01-23 23:30:00, 1288.4 , 1289.5 , 1287.5 , 1288.8 ,     164 
2015-01-23 23:40:00, 1288.9 , 1289.4 , 1287.3 , 1288.4 ,      18 
2015-01-23 23:50:00, 1288.4 , 1291.2 , 1288.1 , 1290.7 ,     166 
2015-01-24 00:00:00, 1290.7 , 1290.9 , 1289.8 , 1290.9 ,    1224 
2015-01-24 00:10:00, 1290.7 , 1293.0 , 1290.3 , 1291.4 ,     637 
2015-01-24 00:20:00, 1291.5 , 1291.6 , 1289.1 , 1289.6 ,     316 
2015-01-24 00:30:00, 1289.6 , 1291.2 , 1289.5 , 1291.0 ,     681 
2015-01-24 00:40:00, 1290.9 , 1290.9 , 1289.5 , 1289.7 ,     306 
2015-01-24 00:50:00, 1289.8 , 1290.9 , 1289.4 , 1290.7 ,     332 
2015-01-24 01:00:00, 1290.7 , 1290.9 , 1289.5 , 1290.7 ,     101 
2015-01-24 01:10:00, 1290.8 , 1291.0 , 1288.6 , 1289.7 ,     449 
2015-01-24 01:20:00, 1289.7 , 1290.0 , 1288.6 , 1289.7 ,     668 
