datetime,open,high,low,close,vol
2015-02-25 09:10:00,1204.7,1205.9,1204.6,1205.3,847
2015-02-25 09:00:00,1205.2,1205.4,1204,1204.5,2049
2015-02-25 08:50:00,1204.9,1205.6,1204.7,1205,895
2015-02-25 08:40:00,1205,1206,1204.1,1204.9,1967
2015-02-25 08:30:00,1206.1,1206.8,1204.6,1205,1335
2015-02-25 08:20:00,1205.9,1206.9,1205.3,1206.1,1301
2015-02-25 08:10:00,1205.4,1206,1204.5,1205.9,2321
2015-02-25 08:00:00,1206.8,1207.1,1205,1205.5,1452
2015-02-25 07:50:00,1206.5,1207.5,1206,1206.6,1776
2015-02-25 07:40:00,1207.3,1207.4,1205,1206.5,2572
2015-02-25 07:30:00,1208.9,1209,1207.1,1207.4,1566
2015-02-25 07:20:00,1209.8,1210,1208.3,1208.9,1595
2015-02-25 07:10:00,1209.4,1211,1208.8,1209.8,2321
2015-02-25 07:00:00,1207.5,1209.6,1207.3,1209.5,1442
2015-02-25 06:50:00,1207.1,1207.6,1206.8,1207.5,403
2015-02-25 06:40:00,1207.3,1207.7,1207.1,1207.1,281
2015-02-25 06:30:00,1208.5,1209,1206.5,1207.3,882
2015-02-25 06:20:00,1208.5,1209.2,1208.5,1208.5,341
2015-02-25 06:10:00,1208.9,1209.1,1208,1208.6,342
2015-02-25 06:00:00,1208.5,1210,1208.2,1209,1186
2015-02-25 05:50:00,1208.5,1208.9,1208.5,1208.5,145
2015-02-25 05:40:00,1208.2,1209.1,1207.7,1208.6,303
2015-02-25 05:30:00,1209,1209,1208.1,1208.1,374
2015-02-25 05:20:00,1208.6,1209,1208.6,1208.8,281
2015-02-25 05:10:00,1208,1209.5,1207.8,1208.6,731
2015-02-25 05:00:00,1206.7,1208.1,1206.6,1208,476
2015-02-25 04:50:00,1207.3,1207.5,1206.5,1206.7,285
2015-02-25 04:40:00,1207.2,1207.5,1207.1,1207.3,161
2015-02-25 04:30:00,1206.6,1207.5,1206.2,1207.2,861
2015-02-25 04:20:00,1206.9,1207.2,1206.4,1206.5,333
2015-02-25 04:10:00,1207.3,1207.7,1206.7,1207,473
2015-02-25 04:00:00,1207.9,1208,1207.2,1207.3,415
2015-02-25 03:50:00,1208.2,1208.3,1207.8,1208,187
2015-02-25 03:40:00,1208.1,1208.4,1207.6,1208.2,542
2015-02-25 03:30:00,1208.5,1208.8,1208,1208,468
2015-02-25 03:20:00,1208.2,1209,1208.1,1208.5,344
2015-02-25 03:10:00,1208,1208.8,1208,1208.2,289
2015-02-25 03:00:00,1208.9,1208.9,1207.7,1207.9,460
2015-02-25 02:50:00,1208.6,1209.2,1208.3,1208.8,374
2015-02-25 02:40:00,1209.2,1209.2,1208,1208.6,366
2015-02-25 02:30:00,1208.3,1209.7,1208.3,1209.1,498
2015-02-25 02:20:00,1208.9,1209,1207.8,1208.4,588
2015-02-25 02:10:00,1208.7,1209.4,1208.7,1208.9,292
2015-02-25 02:00:00,1209.4,1209.4,1208.4,1208.6,824
2015-02-25 01:50:00,1209,1210,1208.7,1209.3,621
2015-02-25 01:40:00,1209.3,1209.6,1208.8,1209,324
2015-02-25 01:30:00,1210.5,1210.6,1208.9,1209.3,830
2015-02-25 01:20:00,1209.8,1210.8,1209.5,1210.4,576
2015-02-25 01:10:00,1210,1210.5,1209.8,1209.8,403
2015-02-25 01:00:00,1211,1211.6,1209.6,1210.1,715
2015-02-25 00:50:00,1211.4,1211.7,1210.5,1210.9,453
2015-02-25 00:40:00,1211.1,1211.5,1211,1211.3,292
2015-02-25 00:30:00,1210.9,1211.1,1210.8,1211.1,152
2015-02-25 00:20:00,1210.3,1211.6,1210.3,1210.9,698
2015-02-25 00:10:00,1210.2,1210.7,1209.7,1210.3,728
2015-02-25 00:00:00,1209.2,1210.9,1209.2,1210.3,1157
2015-02-24 23:50:00,1209.3,1209.7,1209.2,1209.4,193
2015-02-24 23:40:00,1209.5,1209.6,1209.1,1209.3,457
2015-02-24 23:30:00,1208.2,1209.8,1208.2,1209.5,917
2015-02-24 23:20:00,1207.8,1208.2,1207.7,1208.2,181
